[Date "2017.09.12"]
[Player1 "Johnny3Stacks"]
[Player2 "Johnny3Deep"]
[Result ""]
[Size "5"]
1. d2 e1
2. e2 e3
3. 1e2+1 e2
4. 1e1+1 d3
5. e5 c2
6. e4 e1
7. 2e2-2 e2
8. d1 1d3>1
9. 1e4-1 1e2+1
10. d5 5e3-32
11. Cc1 b2
12. a2 c3
13. Se3 b3
14. 1e3-1 4e1<4
15. 1c1>1 Cd3
16. 5d1+5 a3
17. 4e2+22 e2
18. 1a2+1 1e1<1
19. 2e3-2 c4
20. a2 1b2<1
21. 2a3-2 Sb2
22. e3 b4
23. c1 c5
24. 3d2<3 1b2<1
25. 3d2-3 5a2-5
26. 4c2-4 Sc2
27. 1d5<1 b2
28. 5c1<5 1c2<1
29. 5b1>5 1b2>1
30. 5c1<5 1c2<1
31. 5b1>5 1b2>1
32. 5c1<5 1c2<1
33. 5b1>5 1b2>1
34. 5c1<5 1c2<1
35. 5b1>5 1b2>1
36. 5c1<5 1c2<1
37. 5b1>5 1b2>1
38. 5c1<5 1c2<1
39. 5b1>5 1b2>1
40. 5c1<5 1c2<1
41. 5b1>5 1b2>1
42. 5c1<5 1c2<1
43. 5b1>5 1b2>1
44. 5c1<5 1c2<1
45. 5b1>5 1b2>1
46. 5c1<5 1c2<1
47. 5b1>5 1b2>1
48. 5c1<5 1c2<1
49. 5b1>5 1b2>1
50. 5c1<5 1c2<1
51. 5b1>5 1b2>1
52. 5c1<5 1c2<1
53. 5b1>5 1b2>1
54. 5c1<5 1c2<1
55. 5b1>5 1b2>1
56. 5c1<5 1c2<1
57. 5b1>5 1b2>1
58. 5c1<5 1c2<1
59. 5b1>5 1b2>1
60. 5c1<5 1c2<1
61. 5b1>5 1b2>1
62. 5c1<5 1c2<1
63. 5b1>5 1b2>1
64. 5c1<5 1c2<1
65. 5b1>5 1b2>1
66. 5c1<5 1c2<1
67. 5b1>5 1b2>1
68. 5c1<5 1c2<1
69. 5b1>5 1b2>1
70. 5c1<5 1c2<1
71. 5b1>5 1b2>1
72. 5c1<5 1c2<1
73. 5b1>5 1b2>1
74. 5c1<5 1c2<1
75. 5b1>5 1b2>1
76. 5c1<5 1c2<1
77. 5b1>5 1b2>1
78. 5c1<5 1c2<1
79. 5b1>5 1b2>1
80. 5c1<5 1c2<1
81. 5b1>5 1b2>1
82. 5c1<5 1c2<1
83. 5b1>5 1b2>1
84. 5c1<5 1c2<1
85. 5b1>5 1b2>1
86. 5c1<5 1c2<1
87. 5b1>5 1b2>1
88. 5c1<5 1c2<1
89. 5b1>5 1b2>1
90. 5c1<5 1c2<1
91. 5b1>5 1b2>1
92. 5c1<5 1c2<1
93. 5b1>5 1b2>1
94. 5c1<5 1c2<1
95. 5b1>5 1b2>1
96. 5c1<5 1c2<1
97. 5b1>5 1b2>1
98. 5c1<5 1c2<1
99. 5b1>5 1b2>1
100. 5c1<5 1c2<1
101. 5b1>5 1b2>1
102. 5c1<5 1c2<1
103. 5b1>5 1b2>1
104. 5c1<5 1c2<1
105. 5b1>5 1b2>1
106. 5c1<5 1c2<1
107. 5b1>5 1b2>1
108. 5c1<5 1c2<1
109. 5b1>5 1b2>1
110. 5c1<5 1c2<1
111. 5b1>5 1b2>1
112. 5c1<5 1c2<1
113. 5b1>5 1b2>1
114. 5c1<5 1c2<1
115. 5b1>5 1b2>1
116. 5c1<5 1c2<1
117. 5b1>5 1b2>1
118. 5c1<5 1c2<1
119. 5b1>5 1b2>1
120. 5c1<5 1c2<1
121. 5b1>5 1b2>1
122. 5c1<5 1c2<1
123. 5b1>5 1b2>1
124. 5c1<5 1c2<1
125. 5b1>5 1b2>1
126. 5c1<5 1c2<1
127. 5b1>5 1b2>1
128. 5c1<5 1c2<1
129. 5b1>5 1b2>1
130. 5c1<5 1c2<1
131. 5b1>5 1b2>1
132. 5c1<5 1c2<1
133. 5b1>5 1b2>1
134. 5c1<5 1c2<1
135. 5b1>5 1b2>1
136. 5c1<5 1c2<1
137. 5b1>5 1b2>1
138. 5c1<5 1c2<1
139. 5b1>5 1b2>1
140. 5c1<5 1c2<1
141. 5b1>5 1b2>1
142. 5c1<5 1c2<1
143. 5b1>5 1b2>1
144. 5c1<5 1c2<1
145. 5b1>5 1b2>1
146. 5c1<5 1c2<1
147. 5b1>5 1b2>1
148. 5c1<5 1c2<1
149. 5b1>5 1b2>1
150. 5c1<5 1c2<1
151. 5b1>5 1b2>1
152. 5c1<5 1c2<1
153. 5b1>5 1b2>1
154. 5c1<5 1c2<1
155. 5b1>5 1b2>1
156. 5c1<5 1c2<1
157. 5b1>5 1b2>1
158. 5c1<5 1c2<1
159. 5b1>5 1b2>1
160. 5c1<5 1c2<1
161. 5b1>5 1b2>1
162. 5c1<5 1c2<1
163. 5b1>5 1b2>1
164. 5c1<5 1c2<1
165. 5b1>5 1b2>1
166. 5c1<5 1c2<1
167. 5b1>5 1b2>1
168. 5c1<5 1c2<1
169. 5b1>5 1b2>1
170. 5c1<5 1c2<1
171. 5b1>5 1b2>1
172. 5c1<5 1c2<1
173. 5b1>5 1b2>1
174. 5c1<5 1c2<1
175. 5b1>5 1b2>1
176. 5c1<5 1c2<1
177. 5b1>5 1b2>1
178. 5c1<5 1c2<1
179. 5b1>5 1b2>1
180. 5c1<5 1c2<1
181. 5b1>5 1b2>1
182. 5c1<5 1c2<1
183. 5b1>5 1b2>1
184. 5c1<5 1c2<1
185. 5b1>5 1b2>1
186. 5c1<5 1c2<1
187. 5b1>5 1b2>1
188. 5c1<5 1c2<1
189. 5b1>5 1b2>1
190. 5c1<5 1c2<1
191. 5b1>5 1b2>1
192. 5c1<5 1c2<1
193. 5b1>5 1b2>1
194. 5c1<5 1c2<1
195. 5b1>5 1b2>1
196. 5c1<5 1c2<1
197. 5b1>5 1b2>1
198. 5c1<5 1c2<1
199. 5b1>5 1b2>1
200. 5c1<5 1c2<1
201. 5b1>5 1b2>1
202. 5c1<5 1c2<1
203. 5b1>5 1b2>1
204. 5c1<5 1c2<1
205. 5b1>5 1b2>1
206. 5c1<5 1c2<1
207. 5b1>5 1b2>1
208. 5c1<5 1c2<1
209. 5b1>5 1b2>1
210. 5c1<5 1c2<1
211. 5b1>5 1b2>1
212. 5c1<5 1c2<1
213. 5b1>5 1b2>1
214. 5c1<5 1c2<1
215. 5b1>5 1b2>1
216. 5c1<5 1c2<1
217. 5b1>5 1b2>1
218. 5c1<5 1c2<1
219. 5b1>5 1b2>1
220. 5c1<5 1c2<1
221. 5b1>5 1b2>1
222. 5c1<5 1c2<1
223. 5b1>5 1b2>1
224. 5c1<5 1c2<1
225. 5b1>5 1b2>1
226. 5c1<5 1c2<1
227. 5b1>5 1b2>1
228. 5c1<5 1c2<1
229. 5b1>5 1b2>1
230. 5c1<5 1c2<1
231. 5b1>5 1b2>1
232. 5c1<5 1c2<1
233. 5b1>5 1b2>1
234. 5c1<5 1c2<1
235. 5b1>5 1b2>1
236. 5c1<5 1c2<1
237. 5b1>5 1b2>1
238. 5c1<5 1c2<1
239. 5b1>5 1b2>1
240. 5c1<5 1c2<1
241. 5b1>5 1b2>1
242. 5c1<5 1c2<1
243. 5b1>5 1b2>1
244. 5c1<5 1c2<1
245. 5b1>5 1b2>1
246. 5c1<5 1c2<1
247. 5b1>5 1b2>1
248. 5c1<5 1c2<1
249. 5b1>5 1b2>1
250. 5c1<5 1c2<1
251. 5b1>5 1b2>1
252. 5c1<5 1c2<1
253. 5b1>5 1b2>1
254. 5c1<5 1c2<1
255. 5b1>5 1b2>1
256. 5c1<5 1c2<1
257. 5b1>5 1b2>1
258. 5c1<5 1c2<1
259. 5b1>5 1b2>1
260. 5c1<5 1c2<1
261. 5b1>5 1b2>1
262. 5c1<5 1c2<1
263. 5b1>5 1b2>1
264. 5c1<5 1c2<1
265. 5b1>5 1b2>1
266. 5c1<5 1c2<1
267. 5b1>5 1b2>1
268. 5c1<5 1c2<1
269. 5b1>5 1b2>1
270. 5c1<5 1c2<1
271. 5b1>5 1b2>1
272. 5c1<5 1c2<1
273. 5b1>5 1b2>1
274. 5c1<5 1c2<1
275. 5b1>5 1b2>1
276. 5c1<5 1c2<1
277. 5b1>5 1b2>1
278. 5c1<5 1c2<1
279. 5b1>5 1b2>1
280. 5c1<5 1c2<1
281. 5b1>5 1b2>1
282. 5c1<5 1c2<1
283. 5b1>5 1b2>1
284. 5c1<5 1c2<1
285. 5b1>5 1b2>1
286. 5c1<5 1c2<1
287. 5b1>5 1b2>1
288. 5c1<5 1c2<1
289. 5b1>5 1b2>1
290. 5c1<5 1c2<1
291. 5b1>5 1b2>1
292. 5c1<5 1c2<1
293. 5b1>5 1b2>1
294. 5c1<5 1c2<1
295. 5b1>5 1b2>1
296. 5c1<5 1c2<1
297. 5b1>5 1b2>1
298. 5c1<5 1c2<1
299. 5b1>5 1b2>1
300. 5c1<5 1c2<1
301. 5b1>5 1b2>1
302. 5c1<5 1c2<1
303. 5b1>5 1b2>1
304. 5c1<5 1c2<1
305. 5b1>5 1b2>1
306. 5c1<5 1c2<1
307. 5b1>5 1b2>1
308. 5c1<5 1c2<1
309. 5b1>5 1b2>1
310. 5c1<5 1c2<1
311. 5b1>5 1b2>1
312. 5c1<5 1c2<1
313. 5b1>5 1b2>1
314. 5c1<5 1c2<1
315. 5b1>5 1b2>1
316. 5c1<5 1c2<1
317. 5b1>5 1b2>1
318. 5c1<5 1c2<1
319. 5b1>5 1b2>1
320. 5c1<5 1c2<1
321. 5b1>5 1b2>1
322. 5c1<5 1c2<1
323. 5b1>5 1b2>1
324. 5c1<5 1c2<1
325. 5b1>5 1b2>1
